"nama","genre","asal"
"Erie Suzan","http://id.dbpedia.org/resource/R&B_kontemporer","Lamongan, East Java, Indonesia"
"Erie Suzan","http://id.dbpedia.org/resource/Dangdut","Lamongan, East Java, Indonesia"
"Erie Suzan","http://id.dbpedia.org/resource/Musik_rock","Lamongan, East Java, Indonesia"
"Erie Suzan","http://id.dbpedia.org/resource/Pop","Lamongan, East Java, Indonesia"
"Renny Djajoesman","http://id.dbpedia.org/resource/Rock","Semarang, Indonesia"
"Tuti Maryati","keroncong, langgam Sunda, pop, bossas","Makassar,Indonesia"
"Ine Sinthya","http://id.dbpedia.org/resource/Dangdut","Cianjur, Jawa Barat, Indonesia"
"Bonita","http://id.dbpedia.org/resource/Jazz","Jakarta, DKI Jakarta, Indonesia"
"Bonita","http://id.dbpedia.org/resource/Pop","Jakarta, DKI Jakarta, Indonesia"
"Lala Suwages","http://id.dbpedia.org/resource/Jazz","Jayapura,Indonesia"
"Lala Suwages","http://id.dbpedia.org/resource/R&B","Jayapura,Indonesia"
"Lala Suwages","http://id.dbpedia.org/resource/Soul","Jayapura,Indonesia"
"Ucie Nurul","http://id.dbpedia.org/resource/Jazz","Jakarta, DKI Jakarta, Indonesia"
"Ucie Nurul","http://id.dbpedia.org/resource/Pop","Jakarta, DKI Jakarta, Indonesia"
"Eka Deli","http://id.dbpedia.org/resource/Dangdut","Surabaya, Jawa Timur, Indonesia"
"Eka Deli","http://id.dbpedia.org/resource/Jazz","Surabaya, Jawa Timur, Indonesia"
"Eka Deli","http://id.dbpedia.org/resource/R&B","Surabaya, Jawa Timur, Indonesia"
"Eka Deli","http://id.dbpedia.org/resource/Pop","Surabaya, Jawa Timur, Indonesia"
"Eka Deli","http://id.dbpedia.org/resource/Gospel","Surabaya, Jawa Timur, Indonesia"
"Inke Prima","http://id.dbpedia.org/resource/Jazz","Magelang, Indonesia"
"Inke Prima","http://id.dbpedia.org/resource/R&B","Magelang, Indonesia"
"Inke Prima","http://id.dbpedia.org/resource/Pop","Magelang, Indonesia"
"Inke Prima","http://id.dbpedia.org/resource/Pop_kontemporer","Magelang, Indonesia"
"Dike Ardilla","http://id.dbpedia.org/resource/Pop","Bandung, Jawa Barat, Indonesia"
"Dike Ardilla","http://id.dbpedia.org/resource/Rock","Bandung, Jawa Barat, Indonesia"
"Dike Ardilla","http://id.dbpedia.org/resource/Slow_rock","Bandung, Jawa Barat, Indonesia"
"Asti Asmodiwati","http://id.dbpedia.org/resource/Pop","Jakarta, Indonesia"
"Lucky Resha","http://id.dbpedia.org/resource/Pop","Bandung, Jawa Barat, Indonesia"
"Terry","http://id.dbpedia.org/resource/Pop","Jakarta, Indonesia"
"Joeniar Arief","http://id.dbpedia.org/resource/Jazz","Kota Bandung, Indonesia"
"Joeniar Arief","http://id.dbpedia.org/resource/R&B","Kota Bandung, Indonesia"
"Joeniar Arief","http://id.dbpedia.org/resource/Soul","Kota Bandung, Indonesia"
