nama,genre,asal
vani lauw,pop,surabaya
annie ibon,pop,bandung
annie ibon,folk,bandung
alam (penyanyi),dangdut_metal,tasikmalaya
adhitia sofyan,akustik,bandung
a.tee (7 icons),pop,surabaya
a.tee (7 icons),hip_hop,surabaya
a.tee (7 icons),dance_pop,surabaya
pj (7 icons),electropop,surabaya.
pj (7 icons),pop,surabaya.
pj (7 icons),electronica,surabaya.
muhammad reza anugrah,rap,kendari
dicky muhammad prasetya,pop,bandung
mezty (7 icons),pop,bandung
gc (7 icons),pop,malang
inarovi,pop,surabaya
sandy thema,pop,ambon
gamaliel tapiheru,r&b,jakarta
gamaliel tapiheru,pop,jakarta
agnitya nursriani sigit,pop,yogyakarta
agnitya nursriani sigit,disko,yogyakarta
agnitya nursriani sigit,rock,yogyakarta
farah di,jazz,california
linzy (7 icons),pop,singkawang
mizta d,rap,bandung
mizta d,hip_hop,bandung
anggara mulia,rap,jakarta
anggara mulia,pop,jakarta
yuki arifin martawidjaja,pop,bandung
yuki arifin martawidjaja,rock,bandung
tantri syalindri ichlasari,rock,tangerang
emmy labib,pop,banjarmasin
richie setiawan,rock,tangerang
antonius nicky riyant,pop,muntok
iras angga akbar,pop,jakarta
budi rusmana,rap,jakarta
budi rusmana,pop,jakarta
budi rusmana,hip_hop,jakarta
agi ginanjar,pop,baghdad
charlie chandra,pop,jakarta
muhammad rizky,pop,jakarta
hendra bartholomeus,pop,jakarta
bennedict alwin surya,pop,jakarta
indra fachmi bobby,pop,jakarta
drimi,r&b,jakarta
drimi,pop,jakarta
peppi kamadhatu,jazz,semarang
jflow,hip_hop,ambon
jflow,rap,ambon
muhammad hamzah (personil the fly),rock,jakarta
muhammad hamzah (personil the fly),pop,jakarta
zaneta,pop,jakarta
non dera anggia putri prawitasari,hip_hop,sukabumi
non dera anggia putri prawitasari,pop_rock,sukabumi
non dera anggia putri prawitasari,r&b,sukabumi
non dera anggia putri prawitasari,electropop,sukabumi
non dera anggia putri prawitasari,soul,sukabumi
non dera anggia putri prawitasari,pop,sukabumi
non dera anggia putri prawitasari,dance,sukabumi
non dera anggia putri prawitasari,indie,sukabumi
lia ladysta,dangdut,lamongan
8 ball,rap,maluku
8 ball,hip_hop,maluku
8 ball,trance,maluku
yes hip hop,rap,singkawang
yes hip hop,hip_hop,singkawang
wizzow,hip_hop,jakarta
wizzow,rap,jakarta
sanny saofit sunendar,pop,jakarta
luky annash,alternative_rock,jakarta
luky annash,klasik,jakarta
adera,jazz,jakarta
adera,pop,jakarta
andania suri,dance,jakarta
andania suri,r&b,jakarta
andania suri,soul,jakarta
andania suri,pop,jakarta
andania suri,hip_hop,jakarta
arin,pop,manado
vienna fridiana,pop,palembang
cassanova alfonso,jazz,jakarta
cassanova alfonso,r&b,jakarta
aditya (penyanyi),jazz,jakarta
aditya (penyanyi),pop,jakarta
sarasvati,pop,bandung
sarasvati,indie,bandung
sarasvati,alternatif,bandung
sarasvati,gothic,bandung
ayu laksmi,pop,singaraja
ayu laksmi,rock,singaraja
ayu laksmi,folk,singaraja
ria amelia,dangdut,bukittinggi
ria amelia,pop,bukittinggi
ria amelia,folk,bukittinggi
ria amelia,slow_rock,bukittinggi
ria amelia,dangdut_house,bukittinggi
wawa marisa,dangdut,jakarta
sisi,pop,jakarta
sisi,religi,jakarta
iyeth bustami,dangdut,bengkalis
herlin widhaswara,disko,bandung
herlin widhaswara,pop,bandung
matthew sayersz,jazz,bandung
matthew sayersz,r&b,bandung
matthew sayersz,pop,bandung
fali wiilmer,pop,jakarta
lobow,pop,makassar
lobow,folk,makassar
guntur simbolon,r&b,jakarta
guntur simbolon,pop,jakarta
guntur simbolon,religi,jakarta
imanez,reggae,indonesia
bayu risa,r&b,depok
bayu risa,electropop,depok
bayu risa,soul,depok
bayu risa,dance,depok
bayu risa,techno,depok
oik cahya ramadlani,pop,salatiga
yohanna nainggolan,indie_pop,medan
yohanna nainggolan,religi,medan
darryl wezy,alternative_rock,jakarta
darryl wezy,indie_pop,jakarta
zarro,jazz,palu
zarro,r&b,palu
zarro,pop,palu
zarro,folk,palu
iwan abdie,jazz,malang
iwan abdie,pop,malang
frau,indie_pop,yogyakarta
frau,piano_pop,yogyakarta
t-sha (7 icons),pop,pekanbaru
henny purwonegoro,disko,jakarta
henny purwonegoro,pop,jakarta
henny purwonegoro,folk,jakarta
elvyn g. masassya,jazz,medan
elvyn g. masassya,pop,medan
elvyn g. masassya,rock,medan
ika ratih poespa,jazz,indonesia
kojek,hip_hop,jakarta
kojek,rap,jakarta
maharani kahar,balada,surabaya
maharani kahar,pop,surabaya
dessy fitri,balada,jakarta
dessy fitri,pop,jakarta
dessy fitri,rock,jakarta
dessy fitri,religi,jakarta
elly sunarya,country,bandung
elly sunarya,pop,bandung
nani sugianto,pop,jakarta
sierra soetedjo,blues,jakarta
sierra soetedjo,jazz,jakarta
sheila dara aisha,pop_rock,bandung
sheila dara aisha,pop,bandung
